volunteer_id,year,college_code,college_name,major_name,candidate_count,candidate_majors,curated_chosen_major,curated_resolution_status
4362-038,2023,4362,湘潭大学(“双一流”建设高校),自动化,2,机械设计制造及其自动化; 机械设计制造及其自动化(中外合作办学),,
4362-038,2024,4362,湘潭大学(“双一流”建设高校),自动化,2,机械设计制造及其自动化; 机械设计制造及其自动化(中外合作办学),,
4362-038,2025,4362,湘潭大学(“双一流”建设高校),自动化,2,机械设计制造及其自动化; 机械设计制造及其自动化(中外合作办学),,
4468-002,2025,4468,华南农业大学珠江学院,传播学,2,"传播学(广州校区。该校另行收取较高课程培训费); 传播学(第一学年在肇庆校区,第二学年起在广州校区)",,
4468-003,2025,4468,华南农业大学珠江学院,会计学,2,"会计学(广州校区。该校另行收取较高课程培训费); 会计学(第一学年在肇庆校区,第二学年起在广州校区)",,
4517-008,2023,4517,广西医科大学,药学(中澳学分互认联合培养项目),2,临床药学; 药学,,
4601-028,2023,4601,海口经济学院,跨境电子商务,2,电子商务; 电子商务(创业与商业管理),,
4601-028,2024,4601,海口经济学院,跨境电子商务,3,电子商务; 电子商务(创业与商业管理); 电子商务(商业分析与大数据),,
4601-028,2025,4601,海口经济学院,跨境电子商务,3,电子商务; 电子商务(创业与商业管理); 电子商务(商业分析与大数据),,
4601-522,2023,4601,海口经济学院,电子商务(商业分析与大数据),2,电子商务; 电子商务(创业与商业管理),,
4601-554,2025,4601,海口经济学院,市场营销(短剧制作与运营),3,市场营销; 市场营销(奢饰品营销); 市场营销(影视营销与制作),,
5005-023,2023,5005,西南大学(“双一流”建设高校),自动化,3,机械设计制造及其自动化; 电气工程及其自动化; 自动化(中外合作办学),,
5005-023,2024,5005,西南大学(“双一流”建设高校),自动化,2,电气工程及其自动化; 自动化(中外合作办学),,
5005-023,2025,5005,西南大学(“双一流”建设高校),自动化,2,电气工程及其自动化; 自动化(中外合作办学),,
5017-003,2025,5017,重庆工商大学,工商管理(联合学士学位项目),2,工商管理; 工商管理类,,
5111-009,2024,5111,成都中医药大学(“双一流”建设高校),药学,2,中药学; 中药学(凌一揆班),,
5139-016,2023,5139,西华大学,自动化(中外合作办学),3,农业机械化及其自动化; 机械设计制造及其自动化; 电气工程及其自动化,,
5139-016,2024,5139,西华大学,自动化(中外合作办学),2,机械设计制造及其自动化; 电气工程及其自动化,,
5139-016,2025,5139,西华大学,自动化(中外合作办学),2,机械设计制造及其自动化; 电气工程及其自动化,,
5185-513,2025,5185,南充电影工业职业学院,动漫制作技术(数字动画技术),2,动漫制作技术; 动漫制作技术(动画电影制作),,
5210-020,2023,5210,贵州大学(“双一流”建设高校),化学,2,化学工程与工艺(中外合作办学); 化学类,,
5210-020,2024,5210,贵州大学(“双一流”建设高校),化学,2,化学工程与工艺(中外合作办学); 化学类,,
5210-020,2025,5210,贵州大学(“双一流”建设高校),化学,2,化学工程与工艺(中外合作办学); 化学类,,
5233-513,2025,5233,贵州工商职业大学,电子商务,2,电子商务(新媒体运营方向); 电子商务(跨境电商运营方向),,
5233-514,2025,5233,贵州工商职业大学,大数据技术(华为技术班),2,大数据技术; 大数据技术(人工智能方向),,
6105-015,2024,6105,陕西科技大学,自动化(中外合作办学),2,机械设计制造及其自动化(中外合作办学); 电气工程及其自动化,,
6105-015,2025,6105,陕西科技大学,自动化(中外合作办学),2,机械设计制造及其自动化(中外合作办学); 电气工程及其自动化,,
6107-019,2023,6107,陕西理工大学,自动化,2,机械设计制造及其自动化(中外合作办学); 电气工程及其自动化(中外合作办学),,
6107-019,2024,6107,陕西理工大学,自动化,2,机械设计制造及其自动化(中外合作办学); 电气工程及其自动化(中外合作办学),,
6120-001,2023,6120,西安工业大学,电气工程及其自动化,2,自动化; 自动化(中外合作办学),,
6120-007,2023,6120,西安工业大学,机械设计制造及其自动化,3,机械设计制造及其自动化(中外合作办学); 自动化; 自动化(中外合作办学),,
6120-007,2024,6120,西安工业大学,机械设计制造及其自动化,2,机械设计制造及其自动化(中外合作办学); 自动化(中外合作办学),,
6143-015,2025,6143,西安邮电大学,信息工程(中外合作办学),2,电子信息工程; 电子信息工程(中外合作办学),,
6147-017,2025,6147,西北农林科技大学(“双一流”建设高校),食品科学与工程,2,食品科学与工程(中外合作办学); 食品科学与工程类,,
6147-022,2025,6147,西北农林科技大学(“双一流”建设高校),动物医学(后稷实验班),2,动物医学; 动物医学(卓越班),,
6301-016,2023,6301,青海大学(“双一流”建设高校),自动化(对口支援高校联合培养班),3,机械设计制造及其自动化; 电气工程及其自动化; 自动化,,
6301-016,2024,6301,青海大学(“双一流”建设高校),自动化(对口支援高校联合培养班),3,机械设计制造及其自动化; 电气工程及其自动化; 自动化,,
6301-016,2025,6301,青海大学(“双一流”建设高校),自动化(对口支援高校联合培养班),3,机械设计制造及其自动化; 电气工程及其自动化; 自动化,,
6409-018,2023,6409,宁夏医科大学,药学,2,中药学; 临床药学,,
