volunteer_id,year,college_code,college_name,major_name,history_college_name,history_major_name,history_lowest_score,history_lowest_rank,history_source_page,match_level
2323-030,2023,2323,黑龙江大学,化学工程与工艺(中澳学分互认联合培养项目),黑龙江大学,化学,583,69999.0,107,contains_unique
2323-030,2024,2323,黑龙江大学,化学工程与工艺(中澳学分互认联合培养项目),黑龙江大学,化学,567,90213.0,110,contains_unique
2323-030,2025,2323,黑龙江大学,化学工程与工艺(中澳学分互认联合培养项目),黑龙江大学,化学工程与工艺,540,124148.0,113,base
2323-031,2025,2323,黑龙江大学,食品科学与工程(中澳学分互认联合培养项目),黑龙江大学,食品科学与工程,531,135663.0,113,base
2337-022,2024,2337,齐齐哈尔大学,纺织工程(中外合作办学),齐齐哈尔大学,纺织工程,506,161816.0,112,base
2337-022,2025,2337,齐齐哈尔大学,纺织工程(中外合作办学),齐齐哈尔大学,纺织工程,517,152264.0,114,base
2338-006,2024,2338,齐齐哈尔医学院,临床药学,齐齐哈尔医学院,药学,509,159138.0,112,contains_unique
3101-030,2023,3101,东华大学(“双一流”建设高校),纺织工程(艺工融合双学位),东华大学,纺织工程,649,13301.0,110,base
3101-030,2024,3101,东华大学(“双一流”建设高校),纺织工程(艺工融合双学位),东华大学,纺织工程(双学士学位),644,15772.0,113,base
3101-030,2025,3101,东华大学(“双一流”建设高校),纺织工程(艺工融合双学位),东华大学,纺织工程,639,17017.0,115,base
3101-033,2023,3101,东华大学(“双一流”建设高校),服装设计与工程(双学位),东华大学,服装设计与工程,644,15934.0,110,base
3101-033,2024,3101,东华大学(“双一流”建设高校),服装设计与工程(双学位),东华大学,服装设计与工程,637,20061.0,113,base
3101-033,2025,3101,东华大学(“双一流”建设高校),服装设计与工程(双学位),东华大学,服装设计与工程,637,18202.0,115,base
3102-004,2024,3102,复旦大学(“双一流”建设高校),经济学类,复旦大学,经济学类(拔尖班),699,293.0,113,base
3104-004,2023,3104,华东理工大学(“双一流”建设高校),计算机科学与技术(双学士学位项目),华东理工大学,计算机科学与技术,661,7557.0,110,base
3104-017,2025,3104,华东理工大学(“双一流”建设高校),药学(新药智能创制班),华东理工大学,药学(创新实验班),639,16986.0,116,base
3104-018,2023,3104,华东理工大学(“双一流”建设高校),材料类(新材料实验班),华东理工大学,材料类,645,15198.0,110,base
3104-019,2023,3104,华东理工大学(“双一流”建设高校),应用化学(双学士学位项目),华东理工大学,应用化学,656,9731.0,110,base
3104-020,2023,3104,华东理工大学(“双一流”建设高校),环境工程(双学士学位项目),华东理工大学,环境工程,647,14493.0,110,base
3104-024,2023,3104,华东理工大学(“双一流”建设高校),公共管理类(计算社会科学实验班),华东理工大学,公共管理类,648,13630.0,110,base
3104-024,2024,3104,华东理工大学(“双一流”建设高校),公共管理类(计算社会科学实验班),华东理工大学,公共管理类,649,13201.0,113,base
3104-024,2025,3104,华东理工大学(“双一流”建设高校),公共管理类(计算社会科学实验班),华东理工大学,公共管理类,645,13713.0,116,base
3105-013,2025,3105,华东师范大学(“双一流”建设高校),翻译(双学位),华东师范大学,翻译,665,5166.0,116,base
3105-017,2023,3105,华东师范大学(“双一流”建设高校),人力资源管理(双学位),华东师范大学,人力资源管理,667,5579.0,111,base
3105-017,2025,3105,华东师范大学(“双一流”建设高校),人力资源管理(双学位),华东师范大学,人力资源管理,663,5602.0,116,base
3105-024,2023,3105,华东师范大学(“双一流”建设高校),金融学(双学位),华东师范大学,金融学,669,4712.0,111,base
3105-024,2025,3105,华东师范大学(“双一流”建设高校),金融学(双学位),华东师范大学,金融学,665,5184.0,116,base
3105-025,2023,3105,华东师范大学(“双一流”建设高校),新闻学(双学位),华东师范大学,新闻学,667,5392.0,111,base
3105-025,2025,3105,华东师范大学(“双一流”建设高校),新闻学(双学位),华东师范大学,新闻学,667,4598.0,116,base
3105-029,2023,3105,华东师范大学(“双一流”建设高校),统计学(双学位),华东师范大学,统计学,676,2985.0,111,base
3105-029,2025,3105,华东师范大学(“双一流”建设高校),统计学(双学位),华东师范大学,统计学,665,4975.0,116,base
3106-014,2023,3106,华东政法大学,知识产权,华东政法大学,知识产权(卓越人才实验班),665,6288.0,111,base
3106-014,2024,3106,华东政法大学,知识产权,华东政法大学,知识产权(卓越人才实验班),664,6707.0,114,base
3106-014,2025,3106,华东政法大学,知识产权,华东政法大学,知识产权(卓越人才实验班),663,5822.0,117,base
3109-011,2023,3109,上海财经大学(“双一流”建设高校),法学(双学士学位),上海财经大学,"法学(双学士学位,法学和金融学)",670,4593.0,112,base
3109-011,2024,3109,上海财经大学(“双一流”建设高校),法学(双学士学位),上海财经大学,"法学(双学士学位,法学和金融学)",668,5494.0,115,base
3109-011,2025,3109,上海财经大学(“双一流”建设高校),法学(双学士学位),上海财经大学,法学,666,4883.0,117,base
3109-023,2023,3109,上海财经大学(“双一流”建设高校),统计学(前沿交叉),上海财经大学,"统计学(双学士学位,统计与管理学院和商学院培养)",670,4600.0,112,base
3110-503,2023,3110,上海城建职业学院,建筑工程技术(高本贯通),上海城建职业学院,建筑工程技术,493,169621.0,112,base
3110-503,2024,3110,上海城建职业学院,建筑工程技术(高本贯通),上海城建职业学院,建筑工程技术,497,172133.0,115,base
3110-503,2025,3110,上海城建职业学院,建筑工程技术(高本贯通),上海城建职业学院,建筑工程技术,488,186322.0,117,base
3110-504,2025,3110,上海城建职业学院,装配式建筑工程技术,上海城建职业学院,建筑工程技术,488,186322.0,117,contains_unique
3112-012,2025,3112,上海大学(“双一流”建设高校),通信工程(卓越工程师班),上海大学,通信工程,649,11690.0,118,base
